shape_id,shape_pt_lat,shape_pt_sequence,shape_pt_lon,shape_dist_traveled
001_1,35.965527,1,10.535612,0
001_1,35.965378,2,10.535732,0.02
001_1,35.965168,3,10.535922,0.05
001_1,35.96509,4,10.535997,0.06
001_1,35.965008,5,10.536085,0.07
001_1,35.96483,6,10.536275,0.1
001_1,35.96427,7,10.536782,0.18
001_1,35.96376,8,10.537131,0.24
001_1,35.963524,9,10.537308,0.27
001_1,35.96348,10,10.537351,0.28
001_1,35.963436,11,10.537383,0.29
001_1,35.96337,12,10.537424,0.3
001_1,35.96319,13,10.537522,0.32
001_1,35.96308,14,10.537577,0.33
001_1,35.962837,15,10.537695,0.36
001_1,35.962704,16,10.537763,0.38
001_1,35.962425,17,10.537907,0.41
001_1,35.96228,18,10.537976,0.43
001_1,35.96201,19,10.53811,0.46
001_1,35.96187,20,10.538182,0.48
001_1,35.961594,21,10.538335,0.51
001_1,35.961452,22,10.538416,0.53
001_1,35.961178,23,10.538576,0.56
001_1,35.96104,24,10.538652,0.58
001_1,35.960896,25,10.538721,0.6
001_1,35.96016,26,10.539082,0.69
001_1,35.959663,27,10.539341,0.75
001_1,35.959595,28,10.539405,0.76
001_1,35.95952,29,10.539454,0.77
001_1,35.959427,30,10.539525,0.78
001_1,35.95937,31,10.539571,0.79
001_1,35.959297,32,10.5396185,0.8
001_1,35.95914,33,10.539703,0.82
001_1,35.958958,34,10.539799,0.84
001_1,35.958855,35,10.53986,0.85
001_1,35.958748,36,10.53993,0.86
001_1,35.95852,37,10.5400915,0.89
001_1,35.958405,38,10.540178,0.9
001_1,35.95829,39,10.540263,0.91
001_1,35.95805,40,10.5404215,0.94
001_1,35.957825,41,10.540562,0.97
001_1,35.957714,42,10.540628,0.98
001_1,35.957497,43,10.540764,1.01
001_1,35.95737,44,10.540841,1.03
001_1,35.9571,45,10.540981,1.06
001_1,35.956894,46,10.541081,1.08
001_1,35.956814,47,10.541114,1.09
001_1,35.956688,48,10.541178,1.11
001_1,35.95652,49,10.54126,1.13
001_1,35.956318,50,10.54136,1.15
001_1,35.95611,51,10.541477,1.18
001_1,35.9559,52,10.541606,1.21
001_1,35.955692,53,10.541723,1.24
001_1,35.95549,54,10.541842,1.26
001_1,35.955284,55,10.541975,1.29
001_1,35.955063,56,10.5421095,1.32
001_1,35.95484,57,10.542252,1.35
001_1,35.95473,58,10.542328,1.36
001_1,35.954613,59,10.542407,1.37
001_1,35.9545,60,10.542487,1.38
001_1,35.95438,61,10.542566,1.4
001_1,35.95414,62,10.542731,1.43
001_1,35.953884,63,10.542899,1.46
001_1,35.953625,64,10.54306,1.49
001_1,35.95336,65,10.543219,1.52
001_1,35.953094,66,10.543382,1.55
001_1,35.95283,67,10.543542,1.58
001_1,35.952557,68,10.543701,1.61
001_1,35.95242,69,10.543778,1.63
001_1,35.952156,70,10.543933,1.66
001_1,35.952023,71,10.544015,1.68
001_1,35.95189,72,10.544101,1.7
001_1,35.95163,73,10.544271,1.73
001_1,35.9514,74,10.544426,1.76
001_1,35.951294,75,10.544504,1.77
001_1,35.951088,76,10.54465,1.8
001_1,35.950882,77,10.544807,1.83
001_1,35.95051,78,10.545096,1.88
001_1,35.95045,79,10.545124,1.89
001_1,35.9504,80,10.545159,1.9
001_1,35.950336,81,10.545206,1.91
001_1,35.950172,82,10.545325,1.93
001_1,35.94998,83,10.545472,1.96
001_1,35.949776,84,10.545636,1.99
001_1,35.949673,85,10.545723,2
001_1,35.949463,86,10.545888,2.03
001_1,35.94936,87,10.545965,2.04
001_1,35.949173,88,10.546111,2.06
001_1,35.949085,89,10.54618,2.07
001_1,35.94894,90,10.546299,2.09
001_1,35.94883,91,10.546382,2.1
001_1,35.948784,92,10.5464115,2.11
001_1,35.948742,93,10.546433,2.12
001_1,35.94867,94,10.546473,2.13
001_1,35.948624,95,10.546502,2.14
001_1,35.948498,96,10.546611,2.16
001_1,35.948345,97,10.546753,2.18
001_1,35.948265,98,10.546826,2.19
001_1,35.948116,99,10.54697,2.21
001_1,35.947964,100,10.547115,2.23
001_1,35.947887,101,10.547192,2.24
001_1,35.94774,102,10.547345,2.26
001_1,35.9476,103,10.547489,2.28
001_1,35.947487,104,10.547618,2.3
001_1,35.9474,105,10.547719,2.31
001_1,35.94733,106,10.547801,2.32
001_1,35.94728,107,10.547806,2.33
001_1,35.947235,108,10.5478325,2.34
001_1,35.94704,109,10.547994,2.37
001_1,35.946827,110,10.548149,2.4
001_1,35.946747,111,10.5482025,2.41
001_1,35.946568,112,10.548328,2.43
001_1,35.94637,113,10.548457,2.45
001_1,35.946266,114,10.548531,2.46
001_1,35.946163,115,10.548606,2.47
001_1,35.945957,116,10.548769,2.5
001_1,35.945747,117,10.548948,2.53
001_1,35.945515,118,10.549129,2.56
001_1,35.94539,119,10.549223,2.58
001_1,35.945263,120,10.549319,2.6
001_1,35.945133,121,10.549418,2.62
001_1,35.944874,122,10.549612,2.65
001_1,35.944736,123,10.54971,2.67
001_1,35.944454,124,10.549889,2.71
001_1,35.944042,125,10.55013,2.76
