trip_id,drop_off_type,departure_time,arrival_time,stop_id,pickup_type,stop_sequence,timepoint
1002001,,04:45:00,04:45:00,1_0,,1,0
1002002,,07:00:00,07:00:00,1_0,,1,0
1002004,,11:00:00,11:00:00,1_0,,1,0
1002005,,09:00:00,09:00:00,1_0,,1,0
1002006,,13:00:00,13:00:00,1_0,,1,0
1002007,,15:00:00,15:00:00,1_0,,1,0
1002008,,17:00:00,17:00:00,1_0,,1,0
1002009,,19:00:00,19:00:00,1_0,,1,0
1002018,,06:20:00,06:20:00,1_0,,1,0
1002020,,08:05:00,08:05:00,1_0,,1,0
1002021,,10:15:00,10:15:00,1_0,,1,0
1002022,,11:10:00,11:10:00,1_0,,1,0
1002024,,12:05:00,12:05:00,1_0,,1,0
1002025,,14:10:00,14:10:00,1_0,,1,0
1002027,,16:15:00,16:15:00,1_0,,1,0
1002029,,18:15:00,18:15:00,1_0,,1,0
1002031,,20:15:00,20:15:00,1_0,,1,0
1002033,,05:50:00,05:50:00,1_0,,1,0
1002035,,07:35:00,07:35:00,1_0,,1,0
1002037,,09:30:00,09:30:00,1_0,,1,0
1002039,,11:30:00,11:30:00,1_0,,1,0
1002041,,13:30:00,13:30:00,1_0,,1,0
1002043,,15:30:00,15:30:00,1_0,,1,0
1002045,,17:30:00,17:30:00,1_0,,1,0
1002047,,19:30:00,19:30:00,1_0,,1,0
1002003,,08:00:00,08:00:00,1_0,,1,0
1002010,,05:45:00,05:45:00,39_1,,1,0
1002011,,10:00:00,10:00:00,39_1,,1,0
1002012,,12:00:00,12:00:00,39_1,,1,0
1002013,,14:00:00,14:00:00,39_1,,1,0
1002014,,16:00:00,16:00:00,39_1,,1,0
1002015,,13:00:00,13:00:00,39_1,,1,0
1002016,,18:00:00,18:00:00,39_1,,1,0
1002017,,20:00:00,20:00:00,39_1,,1,0
1002019,,07:10:00,07:10:00,39_1,,1,0
1002023,,09:15:00,09:15:00,39_1,,1,0
1002026,,15:05:00,15:05:00,39_1,,1,0
1002028,,17:15:00,17:15:00,39_1,,1,0
1002030,,19:15:00,19:15:00,39_1,,1,0
1002032,,21:10:00,21:10:00,39_1,,1,0
1002034,,06:45:00,06:45:00,39_1,,1,0
1002036,,08:30:00,08:30:00,39_1,,1,0
1002038,,10:30:00,10:30:00,39_1,,1,0
1002040,,12:30:00,12:30:00,39_1,,1,0
1002042,,14:30:00,14:30:00,39_1,,1,0
1002044,,16:30:00,16:30:00,39_1,,1,0
1002046,,18:30:00,18:30:00,39_1,,1,0
1002048,,20:30:00,20:30:00,39_1,,1,0
1002001,,04:46:00,04:46:00,2_0,,2,0
1002002,,07:01:00,07:01:00,2_0,,2,0
1002004,,11:01:00,11:01:00,2_0,,2,0
1002005,,09:01:00,09:01:00,2_0,,2,0
1002006,,13:01:00,13:01:00,2_0,,2,0
1002007,,15:01:00,15:01:00,2_0,,2,0
1002008,,17:01:00,17:01:00,2_0,,2,0
1002009,,19:01:00,19:01:00,2_0,,2,0
1002018,,06:21:00,06:21:00,2_0,,2,0
1002020,,08:06:00,08:06:00,2_0,,2,0
1002021,,10:16:00,10:16:00,2_0,,2,0
1002022,,11:11:00,11:11:00,2_0,,2,0
1002024,,12:06:00,12:06:00,2_0,,2,0
1002025,,14:11:00,14:11:00,2_0,,2,0
1002027,,16:16:00,16:16:00,2_0,,2,0
1002029,,18:16:00,18:16:00,2_0,,2,0
1002031,,20:16:00,20:16:00,2_0,,2,0
1002033,,05:51:00,05:51:00,2_0,,2,0
1002035,,07:36:00,07:36:00,2_0,,2,0
1002037,,09:31:00,09:31:00,2_0,,2,0
1002039,,11:31:00,11:31:00,2_0,,2,0
1002041,,13:31:00,13:31:00,2_0,,2,0
1002043,,15:31:00,15:31:00,2_0,,2,0
1002045,,17:31:00,17:31:00,2_0,,2,0
1002047,,19:31:00,19:31:00,2_0,,2,0
1002003,,08:01:00,08:01:00,38_1,,2,0
1002010,,05:46:00,05:46:00,38_1,,2,0
1002011,,10:01:00,10:01:00,38_1,,2,0
1002012,,12:01:00,12:01:00,38_1,,2,0
1002013,,14:01:00,14:01:00,38_1,,2,0
1002014,,16:01:00,16:01:00,38_1,,2,0
1002015,,13:01:00,13:01:00,38_1,,2,0
1002016,,18:01:00,18:01:00,38_1,,2,0
1002017,,20:01:00,20:01:00,38_1,,2,0
1002019,,07:11:00,07:11:00,38_1,,2,0
1002023,,09:16:00,09:16:00,38_1,,2,0
1002026,,15:06:00,15:06:00,38_1,,2,0
1002028,,17:16:00,17:16:00,38_1,,2,0
1002030,,19:16:00,19:16:00,38_1,,2,0
1002032,,21:11:00,21:11:00,38_1,,2,0
1002034,,06:46:00,06:46:00,38_1,,2,0
1002036,,08:31:00,08:31:00,38_1,,2,0
1002038,,10:31:00,10:31:00,38_1,,2,0
1002040,,12:31:00,12:31:00,38_1,,2,0
1002042,,14:32:00,14:32:00,38_1,,2,0
1002044,,16:31:00,16:31:00,38_1,,2,0
1002046,,18:31:00,18:31:00,38_1,,2,0
1002048,,20:31:00,20:31:00,38_1,,2,0
1002001,,04:48:00,04:48:00,3_0,,3,0
1002002,,07:05:00,07:03:00,3_0,,3,0
1002004,,11:03:00,11:03:00,3_0,,3,0
1002005,,09:03:00,09:03:00,3_0,,3,0
1002006,,13:03:00,13:03:00,3_0,,3,0
1002007,,15:03:00,15:03:00,3_0,,3,0
1002008,,17:03:00,17:03:00,3_0,,3,0
1002009,,19:03:00,19:03:00,3_0,,3,0
1002018,,06:22:00,06:22:00,3_0,,3,0
1002020,,08:07:00,08:07:00,3_0,,3,0
1002021,,10:18:00,10:18:00,3_0,,3,0
1002022,,11:12:00,11:12:00,3_0,,3,0
1002024,,12:08:00,12:08:00,3_0,,3,0
1002025,,14:12:00,14:12:00,3_0,,3,0
1002027,,16:17:00,16:17:00,3_0,,3,0
1002029,,18:17:00,18:17:00,3_0,,3,0
1002031,,20:17:00,20:17:00,3_0,,3,0
1002033,,05:52:00,05:52:00,3_0,,3,0
1002035,,07:38:00,07:38:00,3_0,,3,0
1002037,,09:32:00,09:32:00,3_0,,3,0
1002039,,11:32:00,11:32:00,3_0,,3,0
1002041,,13:33:00,13:33:00,3_0,,3,0
1002043,,15:33:00,15:33:00,3_0,,3,0
1002045,,17:33:00,17:33:00,3_0,,3,0
1002047,,19:33:00,19:33:00,3_0,,3,0
1002028,,17:17:00,17:17:00,37_0,,3,0
1002003,,08:02:00,08:02:00,37_1,,3,0
1002010,,05:47:00,05:47:00,37_1,,3,0
1002011,,10:02:00,10:02:00,37_1,,3,0
1002012,,12:02:00,12:02:00,37_1,,3,0
1002013,,14:02:00,14:02:00,37_1,,3,0
1002014,,16:02:00,16:02:00,37_1,,3,0
1002015,,13:02:00,13:02:00,37_1,,3,0
1002016,,18:02:00,18:02:00,37_1,,3,0
1002017,,20:02:00,20:02:00,37_1,,3,0
1002019,,07:12:00,07:12:00,37_1,,3,0
1002023,,09:18:00,09:18:00,37_1,,3,0
1002026,,15:07:00,15:07:00,37_1,,3,0
1002030,,19:17:00,19:17:00,37_1,,3,0
1002032,,21:12:00,21:12:00,37_1,,3,0
1002034,,06:48:00,06:48:00,37_1,,3,0
1002036,,08:32:00,08:32:00,37_1,,3,0
1002038,,10:32:00,10:32:00,37_1,,3,0
1002040,,12:32:00,12:32:00,37_1,,3,0
1002042,,14:33:00,14:33:00,37_1,,3,0
1002044,,16:33:00,16:33:00,37_1,,3,0
1002046,,18:33:00,18:33:00,37_1,,3,0
1002048,,20:33:00,20:33:00,37_1,,3,0
1002003,,08:03:00,08:03:00,36_1,,4,0
1002010,,05:48:00,05:48:00,36_1,,4,0
1002011,,10:03:00,10:03:00,36_1,,4,0
1002012,,12:05:00,12:03:00,36_1,,4,0
1002013,,14:03:00,14:03:00,36_1,,4,0
1002014,,16:03:00,16:03:00,36_1,,4,0
1002015,,13:04:00,13:04:00,36_1,,4,0
1002016,,18:03:00,18:03:00,36_1,,4,0
